@relation 'Sinav Analizi-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-15'

@attribute 'Okul Donemi' {3,4,5,6,7,8}
@attribute 'Sinav Yili' {2013,2014,2015}
@attribute 'Ogrenci Ulkeleri' {ELL,EP,Asian,Black,Hispanic,White,Notswd,SWD}
@attribute 'Sinav 1' numeric
@attribute 'Sinav 2' numeric

@data
3,2013,ELL,6307,4028
3,2014,ELL,5289,3220
3,2015,ELL,5578,3152
4,2013,ELL,5697,3346
4,2014,ELL,5722,3270
4,2015,ELL,5240,3040
5,2013,ELL,7317,2235
5,2014,ELL,5585,2354
5,2015,ELL,5543,2188
6,2013,ELL,5290,2385
6,2014,ELL,5756,2712
6,2015,ELL,5151,2349
7,2013,ELL,6283,1451
7,2014,ELL,5803,1675
7,2015,ELL,5733,1866
8,2013,ELL,5620,2590
8,2014,ELL,5128,2157
8,2015,ELL,4962,2017
3,2013,EP,16612,19371
3,2014,EP,15382,17367
3,2015,EP,15145,17122
4,2013,EP,15826,19235
4,2014,EP,14728,17292
4,2015,EP,15536,17524
5,2013,EP,20701,16006
5,2014,EP,16258,15577
5,2015,EP,15149,14601
6,2013,EP,16315,21018
6,2014,EP,15326,18434
6,2015,EP,15291,17512
7,2013,EP,23109,18413
7,2014,EP,19982,17680
7,2015,EP,17353,17215
8,2013,EP,19431,22154
8,2014,EP,17724,19391
8,2015,EP,17679,17978
3,2013,Asian,1308,3223
3,2014,Asian,1153,2660
3,2015,Asian,1217,2819
4,2013,Asian,1128,2774
4,2014,Asian,1008,2334
4,2015,Asian,1043,2412
5,2013,Asian,1685,2567
5,2014,Asian,1172,2174
5,2015,Asian,1153,1985
6,2013,Asian,1123,2972
6,2014,Asian,1004,2450
6,2015,Asian,1050,2497
7,2013,Asian,1770,3077
7,2014,Asian,1405,2479
7,2015,Asian,1196,2262
8,2013,Asian,1226,3103
8,2014,Asian,1206,2468
8,2015,Asian,1109,2414
3,2013,Black,8249,6517
3,2014,Black,7566,5854
3,2015,Black,6993,5439
4,2013,Black,7931,6524
4,2014,Black,7254,5805
4,2015,Black,7413,5635
5,2013,Black,10111,5174
5,2014,Black,7897,5184
5,2015,Black,7317,4868
6,2013,Black,8629,7347
6,2014,Black,7925,6445
6,2015,Black,7446,5446
7,2013,Black,11821,5717
7,2014,Black,10078,5808
7,2015,Black,8699,5615
8,2013,Black,10089,7463
8,2014,Black,8988,6432
8,2015,Black,8745,5731
3,2013,Hispanic,11932,11285
3,2014,Hispanic,11068,10830
3,2015,Hispanic,11511,10417
4,2013,Hispanic,11127,10969
4,2014,Hispanic,10797,10186
4,2015,Hispanic,11105,10579
5,2013,Hispanic,14693,8400
5,2014,Hispanic,11628,8915
5,2015,Hispanic,11192,8507
6,2013,Hispanic,11380,11743
6,2014,Hispanic,11236,10342
6,2015,Hispanic,10890,9822
7,2013,Hispanic,15121,9007
7,2014,Hispanic,13454,9279
7,2015,Hispanic,12366,9454
8,2013,Hispanic,12495,11181
8,2014,Hispanic,11597,10098
8,2015,Hispanic,11507,9519
3,2013,White,1850,3750
3,2014,White,1688,3023
3,2015,White,1641,3159
4,2013,White,1689,3360
4,2014,White,1542,2973
4,2015,White,1518,2816
5,2013,White,2434,3175
5,2014,White,1806,2737
5,2015,White,1580,2538
6,2013,White,1599,3589
6,2014,White,1442,3096
6,2015,White,1557,3047
7,2013,White,2338,3344
7,2014,White,1904,2916
7,2015,White,1639,2836
8,2013,White,1634,3797
8,2014,White,1584,3241
8,2015,White,1691,2871
3,2013,Notswd,16120,21350
3,2014,Notswd,13854,18584
3,2015,Notswd,13456,18343
4,2013,Notswd,13666,20093
4,2014,Notswd,12176,17447
4,2015,Notswd,12436,17458
5,2013,Notswd,19567,16898
5,2014,Notswd,13449,15752
5,2015,Notswd,12174,14694
6,2013,Notswd,14202,22327
6,2014,Notswd,12913,18928
6,2015,Notswd,12178,17596
7,2013,Notswd,21312,19016
7,2014,Notswd,16983,17959
7,2015,Notswd,14740,17419
8,2013,Notswd,16696,22903
8,2014,Notswd,14697,19329
8,2015,Notswd,14119,17962
3,2013,SWD,7496,3787
3,2014,SWD,7957,4220
3,2015,SWD,8276,3972
4,2013,SWD,8468,3891
4,2014,SWD,8690,4202
4,2015,SWD,8974,4418
5,2013,SWD,9668,2650
5,2014,SWD,9344,3560
5,2015,SWD,9349,3523
6,2013,SWD,8766,3637
6,2014,SWD,8986,3714
6,2015,SWD,9085,3633
7,2013,SWD,10058,2351
7,2014,SWD,10183,2809
7,2015,SWD,9507,3056
8,2013,SWD,9068,2932
8,2014,SWD,9021,3198
8,2015,SWD,9237,2884
